Date,ret,limit_weight_share,one_line_like_weight_share,n_limit,n_one_line_like,protocol
2025-04-18,-0.06358520770502608,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-21,-0.030732781103351293,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-22,-0.07367035700329633,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-23,-0.050316027400699716,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-24,-0.04584565817851715,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-25,0.032468766992807485,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-28,0.033084194054311,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-29,0.05735094435356392,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-30,0.006140032397625916,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-06,-0.013698172164761812,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-07,0.0034522632560000967,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-08,0.0013805322923965155,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-09,0.09539036963715751,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-12,0.11779657593924157,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-13,0.19369488057018544,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-14,0.04045342405265465,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-15,0.07462300977450129,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-16,0.04694360572951953,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-19,0.11763011634116993,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-20,0.02843008117523161,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-21,0.0006561599543238411,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-22,-0.0035740424787702968,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-23,0.04223891246439128,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-26,-0.0011428752258378133,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-27,0.07051000963402114,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-28,0.03740949707077439,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-29,0.0005886463181679558,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-05-30,-0.049529406441484757,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-03,0.12170982964913521,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-04,-0.08031010755514031,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-05,0.2075733588385639,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-06,0.055783031656683066,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-09,0.1062307808129189,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-10,0.030961876185267235,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-11,-0.06356128454562529,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-12,-0.07872182885770358,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-13,-0.06532987905223801,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-16,0.0831432661093676,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-17,-0.047499385025158006,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-18,-0.022104197199932667,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-19,0.062329417024441565,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-20,0.14531632513941933,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-23,0.02071260844830232,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-24,0.023553231840139927,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-25,-0.036955179969321156,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-26,-0.032775586540094284,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-27,-0.027837888417922327,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-06-30,0.055878271211880035,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-01,-0.029874659205825407,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-02,-0.07475096712682598,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-03,0.0402013613966465,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-04,0.12792804645960718,0.0,0.0,0.0,0.0,limit_up_haircut_20
