model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,kind,seed
Shuffled selected-ledger seed2049,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2049.0
Shuffled selected-ledger seed2050,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2050.0
Shuffled selected-ledger seed2051,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2051.0
Shuffled selected-ledger seed2052,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2052.0
Shuffled selected-ledger seed2053,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2053.0
Shuffled selected-ledger seed2054,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2054.0
Shuffled selected-ledger seed2055,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2055.0
Shuffled selected-ledger seed2056,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2056.0
Shuffled selected-ledger seed2057,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2057.0
Shuffled selected-ledger seed2058,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2058.0
Shuffled selected-ledger seed2059,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2059.0
Shuffled selected-ledger seed2060,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2060.0
Shuffled selected-ledger seed2061,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2061.0
Shuffled selected-ledger seed2062,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2062.0
Shuffled selected-ledger seed2063,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2063.0
Shuffled selected-ledger seed2064,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2064.0
Shuffled selected-ledger seed2065,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2065.0
Shuffled selected-ledger seed2066,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2066.0
Shuffled selected-ledger seed2067,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2067.0
Shuffled selected-ledger seed2068,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2068.0
Shuffled selected-ledger seed2069,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2069.0
Shuffled selected-ledger seed2070,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2070.0
Shuffled selected-ledger seed2071,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2071.0
Shuffled selected-ledger seed2072,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2072.0
Shuffled selected-ledger seed2073,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2073.0
Shuffled selected-ledger seed2074,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2074.0
Shuffled selected-ledger seed2075,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2075.0
