model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,kind,seed
Shuffled selected-ledger seed2050,557,0.00011799111396761504,0.00033512261538657436,0.005946752143967797,2.499544269039535,4.072577172963779,0.7394809365572391,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2050.0
Shuffled selected-ledger seed2051,557,0.00011799111396761498,0.00033512261538657436,0.005946752143967795,2.4995442690395335,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2051.0
Shuffled selected-ledger seed2052,557,0.00011799111396761504,0.00033512261538657436,0.005946752143967797,2.499544269039535,4.072577172963779,0.7394809365572391,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2052.0
Shuffled selected-ledger seed2053,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963779,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2053.0
Shuffled selected-ledger seed2054,557,0.00011799111396761498,0.00033512261538657436,0.005946752143967795,2.4995442690395335,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2054.0
Shuffled selected-ledger seed2055,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2055.0
Shuffled selected-ledger seed2056,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2056.0
Shuffled selected-ledger seed2057,557,0.00011799111396761498,0.00033512261538657436,0.005946752143967795,2.4995442690395335,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2057.0
Shuffled selected-ledger seed2058,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2058.0
Shuffled selected-ledger seed2059,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2059.0
Shuffled selected-ledger seed2060,557,0.00011799111396761504,0.0003351226153865743,0.005946752143967797,2.499544269039535,4.072577172963779,0.7394809365572391,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2060.0
Shuffled selected-ledger seed2061,557,0.00011799111396761498,0.0003351226153865743,0.005946752143967795,2.499544269039534,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2061.0
Shuffled selected-ledger seed2062,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2062.0
Shuffled selected-ledger seed2063,557,0.00011799111396761498,0.00033512261538657436,0.005946752143967795,2.4995442690395335,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2063.0
Shuffled selected-ledger seed2064,557,0.00011799111396761504,0.0003351226153865743,0.005946752143967797,2.499544269039535,4.072577172963779,0.7394809365572391,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2064.0
Shuffled selected-ledger seed2065,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2065.0
Shuffled selected-ledger seed2066,557,0.00011799111396761504,0.0003351226153865743,0.005946752143967797,2.499544269039535,4.072577172963779,0.7394809365572391,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2066.0
Shuffled selected-ledger seed2067,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2067.0
Shuffled selected-ledger seed2068,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2068.0
Shuffled selected-ledger seed2069,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2069.0
