Date,model,nav,drawdown
2024-05-14,PPO Gate,6.732647682479784,-0.10686828635606271
2024-05-15,PPO Gate,6.748439759205222,-0.10477335948435207
2024-05-16,PPO Gate,6.518774374770016,-0.13524004184159044
2024-05-17,PPO Gate,6.335420129194769,-0.15956323522369187
2024-05-20,PPO Gate,6.33806007408191,-0.15921302849787222
2024-05-21,PPO Gate,6.239961360961224,-0.1722264930199714
2024-05-22,PPO Gate,6.014980921800774,-0.2020716853781921
2024-05-23,PPO Gate,5.775036444411336,-0.2339019596442733
2024-05-24,PPO Gate,5.804419984994926,-0.23000403223264887
2024-05-27,PPO Gate,5.539718253834206,-0.26511852535714486
2024-05-28,PPO Gate,5.242088553517014,-0.3046011385595807
2024-05-29,PPO Gate,5.189244151887848,-0.3116113094773856
2024-05-30,PPO Gate,5.1451540707781325,-0.3174601599673188
2024-05-31,PPO Gate,5.063107590468569,-0.32834418613551186
2024-06-03,PPO Gate,5.049214371632129,-0.33018721653493555
2024-06-04,PPO Gate,5.326108667535443,-0.29345529639571455
2024-06-05,PPO Gate,5.2106001454208855,-0.3087782910275465
2024-06-06,PPO Gate,5.49875670583106,-0.2705523545558359
2024-06-07,PPO Gate,5.382686661878048,-0.28594983889594894
2024-06-11,PPO Gate,5.534627508117707,-0.26579384755725555
2024-06-12,PPO Gate,5.758166950700698,-0.23613981324016187
2024-06-13,PPO Gate,5.6346546116302685,-0.25252456887459196
2024-06-14,PPO Gate,5.452709753748532,-0.27666079734997917
2024-06-17,PPO Gate,5.153469390543108,-0.3163570759888542
2024-06-18,PPO Gate,5.003330985486265,-0.3362739611900707
2024-06-19,PPO Gate,4.908269812624769,-0.3488844752438106
2024-06-20,PPO Gate,4.936519115993847,-0.3451370121479874
2024-06-21,PPO Gate,5.369986365501258,-0.2876346199808565
2024-06-24,PPO Gate,5.834661241899798,-0.2259923228909465
2024-06-25,PPO Gate,6.284574618539711,-0.16630823959702723
2024-06-26,PPO Gate,6.630695409296532,-0.1203929519486211
2024-06-27,PPO Gate,6.477129687494379,-0.14076449413209802
2024-06-28,PPO Gate,7.203306496611136,-0.04443217904264252
2024-07-01,PPO Gate,7.466199718234791,-0.009557597064274392
2024-07-02,PPO Gate,7.4091226112888835,-0.017129265260888094
2024-07-03,PPO Gate,7.152864432367894,-0.051123663493037874
2024-07-04,PPO Gate,7.083336197533978,-0.06034705887216185
2024-07-05,PPO Gate,7.076556704341715,-0.06124640496273481
2024-07-08,PPO Gate,7.075054416251633,-0.061445693741764895
2024-07-09,PPO Gate,7.132657170791001,-0.053804294800567476
2024-07-10,PPO Gate,8.79585913146485,0.0
2024-07-11,PPO Gate,9.646330442723544,0.0
2024-07-12,PPO Gate,10.148169061645584,0.0
2024-07-15,PPO Gate,10.270483035093152,0.0
2024-07-16,PPO Gate,10.356659687822932,0.0
2024-07-17,PPO Gate,10.069208012717702,-0.02775524964320364
2024-07-18,PPO Gate,9.430727488591774,-0.08940452106578745
2024-07-19,PPO Gate,9.036199463960076,-0.12749865918790548
2024-07-22,PPO Gate,8.337045562781052,-0.1950063230731126
2024-07-23,PPO Gate,10.535843468015088,0.0
2024-07-24,PPO Gate,11.621354181586382,0.0
2024-07-25,PPO Gate,12.013143274697468,0.0
2024-07-26,PPO Gate,12.532201121989937,0.0
